Archivo de entrada;Archivo de salida;Nombre del algoritmo;Tamano de la matriz;Caracteristica de la matriz;Tiempo;Memoria usada
1024_densa_D0_a_1.txt;1024_densa_D0_a_naive_out.txt;naive;1024x1024;densa;2316;4624384
1024_densa_D0_a_1.txt;1024_densa_D0_a_strassen_out.txt;strassen;1024x1024;densa;891;33726464
1024_densa_D0_b_1.txt;1024_densa_D0_b_naive_out.txt;naive;1024x1024;densa;2064;2936832
1024_densa_D0_b_1.txt;1024_densa_D0_b_strassen_out.txt;strassen;1024x1024;densa;764;33419264
1024_densa_D0_c_1.txt;1024_densa_D0_c_naive_out.txt;naive;1024x1024;densa;2060;1339392
1024_densa_D0_c_1.txt;1024_densa_D0_c_strassen_out.txt;strassen;1024x1024;densa;882;33787904
1024_densa_D10_a_1.txt;1024_densa_D10_a_naive_out.txt;naive;1024x1024;densa;2366;1339392
1024_densa_D10_a_1.txt;1024_densa_D10_a_strassen_out.txt;strassen;1024x1024;densa;621;33828864
1024_densa_D10_b_1.txt;1024_densa_D10_b_naive_out.txt;naive;1024x1024;densa;2287;1339392
1024_densa_D10_b_1.txt;1024_densa_D10_b_strassen_out.txt;strassen;1024x1024;densa;687;33595392
1024_densa_D10_c_1.txt;1024_densa_D10_c_naive_out.txt;naive;1024x1024;densa;2049;1331200
1024_densa_D10_c_1.txt;1024_densa_D10_c_strassen_out.txt;strassen;1024x1024;densa;829;33423360
1024_diagonal_D0_a_1.txt;1024_diagonal_D0_a_naive_out.txt;naive;1024x1024;diagonal;2169;1609728
1024_diagonal_D0_a_1.txt;1024_diagonal_D0_a_strassen_out.txt;strassen;1024x1024;diagonal;731;34025472
1024_diagonal_D0_b_1.txt;1024_diagonal_D0_b_naive_out.txt;naive;1024x1024;diagonal;2346;1073152
1024_diagonal_D0_b_1.txt;1024_diagonal_D0_b_strassen_out.txt;strassen;1024x1024;diagonal;913;33878016
1024_diagonal_D0_c_1.txt;1024_diagonal_D0_c_naive_out.txt;naive;1024x1024;diagonal;2885;1609728
1024_diagonal_D0_c_1.txt;1024_diagonal_D0_c_strassen_out.txt;strassen;1024x1024;diagonal;823;33849344
1024_diagonal_D10_a_1.txt;1024_diagonal_D10_a_naive_out.txt;naive;1024x1024;diagonal;2388;1609728
1024_diagonal_D10_a_1.txt;1024_diagonal_D10_a_strassen_out.txt;strassen;1024x1024;diagonal;796;33796096
1024_diagonal_D10_b_1.txt;1024_diagonal_D10_b_naive_out.txt;naive;1024x1024;diagonal;2289;1339392
1024_diagonal_D10_b_1.txt;1024_diagonal_D10_b_strassen_out.txt;strassen;1024x1024;diagonal;787;33447936
1024_diagonal_D10_c_1.txt;1024_diagonal_D10_c_naive_out.txt;naive;1024x1024;diagonal;1943;1343488
1024_diagonal_D10_c_1.txt;1024_diagonal_D10_c_strassen_out.txt;strassen;1024x1024;diagonal;872;33366016
1024_dispersa_D0_a_1.txt;1024_dispersa_D0_a_naive_out.txt;naive;1024x1024;dispersa;4363;1339392
1024_dispersa_D0_a_1.txt;1024_dispersa_D0_a_strassen_out.txt;strassen;1024x1024;dispersa;1748;33333248
