Archivo de entrada;Archivo de salida;Nombre del algoritmo;Tamano del arreglo;Caracteristica del arreglo;Resultado correcto;Tiempo;Memoria usada
10000000_aleatorio_D1_a.txt;10000000_aleatorio_D1_a_merge_sort_out.txt;merge_sort;10000000;aleatorio;si;1855;40366080
10000000_aleatorio_D1_a.txt;10000000_aleatorio_D1_a_quick_sort_out.txt;quick_sort;10000000;aleatorio;si;240;16384
10000000_aleatorio_D1_a.txt;10000000_aleatorio_D1_a_patience_sort_out.txt;patience_sort;10000000;aleatorio;si;574;40112128
10000000_aleatorio_D1_a.txt;10000000_aleatorio_D1_a_std_sort_out.txt;std_sort;10000000;aleatorio;si;340;40017920
10000000_aleatorio_D1_b.txt;10000000_aleatorio_D1_b_merge_sort_out.txt;merge_sort;10000000;aleatorio;si;1866;40054784
10000000_aleatorio_D1_b.txt;10000000_aleatorio_D1_b_quick_sort_out.txt;quick_sort;10000000;aleatorio;si;245;16384
10000000_aleatorio_D1_b.txt;10000000_aleatorio_D1_b_patience_sort_out.txt;patience_sort;10000000;aleatorio;si;482;43556864
10000000_aleatorio_D1_b.txt;10000000_aleatorio_D1_b_std_sort_out.txt;std_sort;10000000;aleatorio;si;391;40017920
10000000_aleatorio_D1_c.txt;10000000_aleatorio_D1_c_merge_sort_out.txt;merge_sort;10000000;aleatorio;si;2001;40022016
10000000_aleatorio_D1_c.txt;10000000_aleatorio_D1_c_quick_sort_out.txt;quick_sort;10000000;aleatorio;si;228;20480
10000000_aleatorio_D1_c.txt;10000000_aleatorio_D1_c_patience_sort_out.txt;patience_sort;10000000;aleatorio;si;584;39776256
10000000_aleatorio_D1_c.txt;10000000_aleatorio_D1_c_std_sort_out.txt;std_sort;10000000;aleatorio;si;293;40017920
10000000_aleatorio_D7_a.txt;10000000_aleatorio_D7_a_merge_sort_out.txt;merge_sort;10000000;aleatorio;si;2863;40017920
10000000_aleatorio_D7_a.txt;10000000_aleatorio_D7_a_quick_sort_out.txt;quick_sort;10000000;aleatorio;si;1615;16384
10000000_aleatorio_D7_a.txt;10000000_aleatorio_D7_a_patience_sort_out.txt;patience_sort;10000000;aleatorio;si;3411;70598656
10000000_aleatorio_D7_a.txt;10000000_aleatorio_D7_a_std_sort_out.txt;std_sort;10000000;aleatorio;si;1363;40017920
10000000_aleatorio_D7_b.txt;10000000_aleatorio_D7_b_merge_sort_out.txt;merge_sort;10000000;aleatorio;si;2761;41197568
10000000_aleatorio_D7_b.txt;10000000_aleatorio_D7_b_quick_sort_out.txt;quick_sort;10000000;aleatorio;si;1640;16384
10000000_aleatorio_D7_b.txt;10000000_aleatorio_D7_b_patience_sort_out.txt;patience_sort;10000000;aleatorio;si;3159;68882432
10000000_aleatorio_D7_b.txt;10000000_aleatorio_D7_b_std_sort_out.txt;std_sort;10000000;aleatorio;si;1264;40034304
10000000_aleatorio_D7_c.txt;10000000_aleatorio_D7_c_merge_sort_out.txt;merge_sort;10000000;aleatorio;si;3012;40017920
10000000_aleatorio_D7_c.txt;10000000_aleatorio_D7_c_quick_sort_out.txt;quick_sort;10000000;aleatorio;si;1623;16384
10000000_aleatorio_D7_c.txt;10000000_aleatorio_D7_c_patience_sort_out.txt;patience_sort;10000000;aleatorio;si;3414;69795840
10000000_aleatorio_D7_c.txt;10000000_aleatorio_D7_c_std_sort_out.txt;std_sort;10000000;aleatorio;si;1272;40017920
10000000_ascendente_D1_a.txt;10000000_ascendente_D1_a_merge_sort_out.txt;merge_sort;10000000;ordenado;si;1422;40017920
10000000_ascendente_D1_a.txt;10000000_ascendente_D1_a_quick_sort_out.txt;quick_sort;10000000;ordenado;si;52;16384
10000000_ascendente_D1_a.txt;10000000_ascendente_D1_a_patience_sort_out.txt;patience_sort;10000000;ordenado;si;290;38264832
10000000_ascendente_D1_a.txt;10000000_ascendente_D1_a_std_sort_out.txt;std_sort;10000000;ordenado;si;171;40017920
10000000_ascendente_D1_b.txt;10000000_ascendente_D1_b_merge_sort_out.txt;merge_sort;10000000;ordenado;si;1427;40017920
10000000_ascendente_D1_b.txt;10000000_ascendente_D1_b_quick_sort_out.txt;quick_sort;10000000;ordenado;si;39;16384
10000000_ascendente_D1_b.txt;10000000_ascendente_D1_b_patience_sort_out.txt;patience_sort;10000000;ordenado;si;221;37244928
10000000_ascendente_D1_b.txt;10000000_ascendente_D1_b_std_sort_out.txt;std_sort;10000000;ordenado;si;184;40017920
10000000_ascendente_D1_c.txt;10000000_ascendente_D1_c_merge_sort_out.txt;merge_sort;10000000;ordenado;si;1448;40017920
10000000_ascendente_D1_c.txt;10000000_ascendente_D1_c_quick_sort_out.txt;quick_sort;10000000;ordenado;si;53;16384
10000000_ascendente_D1_c.txt;10000000_ascendente_D1_c_patience_sort_out.txt;patience_sort;10000000;ordenado;si;282;40505344
10000000_ascendente_D1_c.txt;10000000_ascendente_D1_c_std_sort_out.txt;std_sort;10000000;ordenado;si;157;40017920
10000000_ascendente_D7_a.txt;10000000_ascendente_D7_a_merge_sort_out.txt;merge_sort;10000000;ordenado;si;1513;39186432
10000000_ascendente_D7_a.txt;10000000_ascendente_D7_a_quick_sort_out.txt;quick_sort;10000000;ordenado;si;17333;16384
10000000_ascendente_D7_a.txt;10000000_ascendente_D7_a_patience_sort_out.txt;patience_sort;10000000;ordenado;si;2534;335667200
10000000_ascendente_D7_a.txt;10000000_ascendente_D7_a_std_sort_out.txt;std_sort;10000000;ordenado;si;224;40017920
10000000_ascendente_D7_b.txt;10000000_ascendente_D7_b_merge_sort_out.txt;merge_sort;10000000;ordenado;si;1916;40017920
10000000_ascendente_D7_b.txt;10000000_ascendente_D7_b_quick_sort_out.txt;quick_sort;10000000;ordenado;si;17184;16384
10000000_ascendente_D7_b.txt;10000000_ascendente_D7_b_patience_sort_out.txt;patience_sort;10000000;ordenado;si;3000;335568896
10000000_ascendente_D7_b.txt;10000000_ascendente_D7_b_std_sort_out.txt;std_sort;10000000;ordenado;si;205;40017920
10000000_ascendente_D7_c.txt;10000000_ascendente_D7_c_merge_sort_out.txt;merge_sort;10000000;ordenado;si;1394;40116224
